,Ticker
0,Constituent Name
1,01 Communique Laboratory Inc.
2,48North Cannabis Corp
3,A2Z Smart Technologies Corp.
4,Abcourt Mines Inc.
5,Abitibi Royalties Inc.
6,Abraplata Resource Corp.
7,Acasti Pharma Inc.
8,Acceleware Ltd.
9,Adventus Mining Corporation
10,AEX Gold Inc.
11,Africa Energy Corp.
12,African Gold Group Inc.
13,Aftermath Silver Ltd.
14,Alianza Minerals Ltd.
15,Allegiant Gold Ltd.
16,Alpha Lithium Corporation
17,Altiplano Metals Inc.
18,Alvopetro Energy Ltd.
19,Amarillo Gold Corporation
20,American Creek Resources Ltd.
21,American Lithium Corp.
22,American Manganese Inc.
23,Amex Exploration Inc.
24,AnalytixInsight Inc.
25,Arbor Metals Corp.
26,Arch Biopartners Inc.
27,ARHT Media Inc.
28,Arianne Phosphate Inc.
29,Aris Gold Corporation
30,Arizona Metals Corp.
31,Artemis Gold Inc.
32,ATAC Resources Ltd.
33,Atico Mining Corporation
34,Aurcana Silver Corporation
35,Aurion Resources Ltd.
36,Aurora Solar Technologies Inc.
37,Automotive Finco Corp.
38,Auxly Cannabis Group Inc.
39,Avante Logixx Inc.
40,Avidian Gold Corp.
41,Avivagen Inc.
42,Axis Auto Finance Inc.
43,Azimut Exploration Inc.
44,Banyan Gold Corp.
45,Barsele Minerals Corp.
46,Baru Gold Corp.
47,Bear Creek Mining Corporation
48,Bell Copper Corporation
49,Bemetals Corp.
50,Benchmark Metals Inc.
51,Benz Mining Corp.
52,BeWhere Holdings Inc.
53,Bioasis Technologies Inc.
54,BioSyent Inc.
55,Bitfarms Ltd.
56,Blackline Safety Corp.
57,Blackrock Gold Corp.
58,Blue Sky Uranium Corp.
59,Bluestone Resources Inc.
60,BonTerra Resources Inc.
61,Brixton Metals Corporation
62,C-Com Satellite Systems Inc.
63,C3 Metals Inc.
64,Cabral Gold Inc.
65,Callinex Mines Inc.
66,Canada Carbon Inc.
67,Canada Nickel Company Inc.
68,Canada Silver Cobalt Works Inc.
69,CanAlaska Uranium Ltd.
70,Candelaria Mining Corp.
71,Cantex Mine Development Corp.
72,Cartier Resources Inc.
73,Cassiar Gold Corp.
74,Ceapro Inc.
75,Cematrix Corporation
76,Ceylon Graphite Corp.
77,CGX Energy Inc.
78,Chakana Copper Corp.
79,Chesapeake Gold Corp.
80,Clean Seed Capital Group Ltd.
81,Colonial Coal International Corp.
82,Commerce Resources Corp.
83,Condor Resources Inc.
84,Conic Metals Corp.
85,Converge Technology Solutions Corp.
86,Copper Fox Metals Inc.
87,Cordoba Minerals Corp.
88,Cornerstone Capital Resources Inc.
89,Critical Elements Lithium Corporation
90,CubicFarm Systems Corp.
91,Cypress Development Corp.
92,Datametrex AI Limited
93,Decade Resources Ltd.
94,Decisive Dividend Corporation
95,Defiance Silver Corp.
96,Desert Gold Ventures Inc.
97,Desert Mountain Energy Corp.
98,Diagnos Inc.
99,Discovery Metals Corp
100,District Metals Corp.
101,DMG Blockchain Solutions Inc.
102,Dolly Varden Silver Corporation
103,Dominion Lending Centres Inc.
104,Doubleview Gold Corp.
105,Drone Delivery Canada Corp.
106,E3 Metals Corp.
107,East Africa Metals Inc.
108,Eastwood Bio-Medical Canada Inc.
109,Eco (Atlantic) Oil & Gas Ltd.
110,Eguana Technologies Inc.
111,Eloro Resources Ltd.
112,Else Nutrition Holdings Inc.
113,Ely Gold Royalties Inc.
114,Emerald Health Therapeutics Inc.
115,Eminent Gold Corp Com
116,Empire Industries Ltd.
117,EMX Royalty Corporation
118,Encore Energy Corp.
119,Enduro Metals Corporation
120,Environmental Waste International Inc.
121,EnWave Corporation
122,EQ Inc.
123,Equity Metals Corporation
124,Eskay Mining Corp.
125,Euro Manganese Inc.
126,Facedrive Inc.
127,Falco Resources Ltd.
128,Falcon Oil & Gas Ltd.
129,Filo Mining Corp.
130,Fiore Gold Ltd.
131,Fireweed Zinc Ltd.
132,Firm Capital Apartment Real Estate Inves
133,Firm Capital Property Trust
134,First Cobalt Corp.
135,First Vanadium Corp.
136,Focus Graphite Inc.
137,Foran Mining Corporation
138,Fortune Bay Corp.
139,Forum Energy Metals Corp.
140,FPX Nickel Corp.
141,Fronsac Real Estate Investment Trust
142,Frontier Lithium Inc.
143,G2 Goldfields Inc.
144,Gabriel Resources Ltd.
145,Galane Gold Ltd.
146,Galleon Gold Corp.
147,Galway Metals Inc.
148,Garibaldi Resources Corp.
149,Gatekeeper Systems Inc.
150,GEN III Oil Corporation
151,Gensource Potash Corporation
152,Geomega Resources Inc.
153,GFG Resources Inc.
154,Giga Metals Corporation
155,Giyani Metals Corp.
156,Gold Reserve Inc.
157,Gold Terra Resource Corp.
158,Gold X Mining Corp.
159,Golden Arrow Resources Corporation
160,Golden Predator Mining Corp.
161,Golden Tag Resources Ltd.
162,Golden Valley Mines Ltd.
163,GoldQuest Mining Corp.
164,Goldsource Mines Inc.
165,GoldSpot Discoveries Corp.
166,Good Natured Products Inc.
167,GoviEx Uranium Inc.
168,GR SILVER MNG LTD.
169,Grande Portage Resources Ltd.
170,Grande West Transportation Group Inc.
171,Gratomic Inc.
172,Great Bear Resources Ltd.
173,Greenbriar Capital Corp.
174,Greenlane Renewables Inc.
175,GreenPower Motor Company Inc.
176,Group Ten Metals Inc.
177,GT Gold Corp.
178,H2O Innovation Inc.
179,Halmont Properties Corporation
180,Hamilton Thorne Ltd.
181,Hannan Metals Ltd.
182,Harfang Exploration inc.
183,Heliostar Metals Ltd.
184,Highgold Mining Inc.
185,Hive Blockchain Technologies Ltd.
186,HPQ-Silicon Resources Inc.
187,Hudson Resources Inc.
188,Imaflex Inc.
189,Immunoprecise Antibodies Ltd.
190,IMPACT Silver Corp.
191,Indiva Limited
192,Input Capital Corp.
193,Integra Resources Corp.
194,Intema Solutions Inc.
195,Inventus Mining Corp.
196,IsoEnergy Ltd.
197,Jade Power Trust
198,Japan Gold Corp.
199,Jericho Oil Corporation
200,K2 Gold Corporation
201,Khiron Life Sciences Corp.
202,Kincora Copper Limited
203,Klondike Gold Corp.
204,Klondike Silver Corp.
205,Kneat.com Inc.
206,Kodiak Copper Corp.
207,Kootenay Silver Inc.
208,Kore Mining Ltd.
209,Kraken Robotics Inc.
210,Kutcho Copper Corp.
211,Labrador Gold Corp.
212,Lara Exploration Ltd.
213,Laurion Mineral Exploration Inc.
214,Leading Edge Materials Corp.
215,Legend Power Systems Inc.
216,Leucrotta Exploration Inc.
217,Lexagene Holdings Inc.
218,Lion One Metals Limited
219,Lithium Chile Inc.
220,Loop Insights Inc.
221,Los Andes Copper Ltd.
222,Lumina Gold Corp.
223,Luminex Resources Corp.
224,Macro Enterprises Inc.
225,Magna Gold Corp.
226,Majestic Gold Corp.
227,Mako Mining Corp.
228,Manganese X Energy Corp.
229,Maple Gold Mines Ltd.
230,Maritime Resources Corp.
231,Martello Technologies Group Inc.
232,Mason Graphite Inc.
233,MAX Resource Corp.
234,mCloud Technologies Corp.
235,Medexus Pharmaceuticals Inc.
236,MediaValet Inc.
237,MedMira Inc.
238,MedX Health Corp.
239,Mene Inc.
240,Metalla Royalty & Streaming Ltd.
241,Metallic Minerals Corp.
242,Midland Exploration Inc.
243,Midnight Sun Mining Corp.
244,Millennial Lithium Corp.
245,Minaurum Gold Inc.
246,Minera Alamos Inc.
247,Mineral Mountain Resources Ltd.
248,Mineworx Technologies Ltd.
249,Mirasol Resources Ltd.
250,Mission Ready Solutions Inc.
251,Mkango Resources Ltd.
252,Monument Mining Limited
253,Namaste Technologies Inc.
254,Nanalysis Scientific Corp.
255,Nano One Materials Corp.
256,Nanotech Security Corp.
257,NanoXplore Inc.
258,Neo Lithium Corp.
259,NervGen Pharma Corp.
260,NeutriSci International Inc.
261,New Oroperu Resources Inc.
262,Newcore Gold Ltd.
263,Newport Exploration Ltd.
264,NexOptic Technology Corp
265,NG Energy International Corp.
266,NGEx Minerals Ltd.
267,Nicola Mining Inc.
268,Niobay Metals Inc.
269,Noram Ventures Inc.
270,Noront Resources Ltd.
271,Northern Shield Resources Inc.
272,Northern Superior Resources Inc.
273,Northern Vertex Mining Corp.
274,Northfield Capital Corporation
275,NorthIsle Copper and Gold Inc.
276,Nouveau Monde Graphite Inc.
277,Nova Leap Health Corp.
278,Nubeva Technologies Ltd.
279,Nubian Resources Ltd.
280,NuLegacy Gold Corporation
281,Numinus Wellness Inc.
282,O3 Mining Inc.
283,Omineca Mining and Metals Ltd.
284,OneSoft Solutions Inc.
285,Orca Gold Inc.
286,Orex Minerals Inc.
287,Orezone Gold Corporation
288,Organto Foods Inc.
289,Oroco Resource Corp.
290,Orogen Royalties Inc.
291,Osino Resources Corp.
292,Osisko Metals Incorporated
293,Outcrop Gold Corp.
294,Pacific Booker Minerals Inc.
295,Palladium One Mining Inc.
296,Pan Global Resources Inc.
297,Pan Orient Energy Corp.
298,Pancontinental Resources Corporation
299,Panoro Minerals Ltd.
300,Pasofino Gold Limited
301,People Corporation
302,Perisson Petroleum Corporation
303,PetroTal Corp.
304,Pharmacielo Ltd.
305,Plateau Energy Metals Inc.
306,Playgon Games Inc.
307,POET Technologies Inc.
308,Power Metals Corp.
309,PPX Mining Corp.
310,Prime Mining Corp.
311,Probe Metals Inc.
312,ProntoForms Corporation
313,Protech Home Medical Corp.
314,Pure Gold Mining Inc.
315,Purepoint Uranium Group Inc.
316,QMX Gold Corporation
317,Quest PharmaTech Inc.
318,Questor Technology Inc.
319,Quisitive Technology Solutions Inc.
320,Quorum Information Technologies Inc.
321,Qyou Media Inc.
322,Radient Technologies Inc.
323,Radisson Mining Resources Inc.
324,Radius Gold Inc.
325,RE Royalties Ltd.
326,Reconnaissance Energy Africa Ltd.
327,Redishred Capital Corp.
328,Regulus Resources Inc.
329,Reliq Health Technologies Inc.
330,Renaissance Oil Corp.
331,Resaas Services Inc.
332,Reunion Gold Corporation
333,Revival Gold Inc.
334,RevoluGROUP Canada Inc.
335,Rhyolite Resources Ltd.
336,Rio2 Limited
337,Riverside Resources Inc.
338,Robex Resources Inc.
339,Rock Tech Lithium Inc.
340,Rokmaster Resources Corp.
341,Roscan Gold Corporation
342,Route1 Inc.
343,Royal Helium Ltd.
344,Rupert Resources Ltd.
345,Sable Resources Ltd.
346,Salazar Resources Limited
347,Sama Resources Inc./Ressources Sama Inc.
348,Sandfire Resources America Inc.
349,Sangoma Technologies Corporation
350,Santacruz Silver Mining Ltd.
351,Sarama Resources Ltd.
352,Saturn Oil & Gas Inc.
353,Scottie Resources Corp.
354,Serengeti Resources Inc.
355,Sernova Corp.
356,ShaMaran Petroleum Corp.
357,Sigma Lithium Resources Corporation
358,Signature Resources Ltd.
359,Silver One Resources Inc.
360,Silver Tiger Metals Inc.
361,Silver Viper Minerals Corp.
362,Sirios Resources Inc.
363,Sirona Biochem Corp.
364,Skyharbour Resources Ltd.
365,Sokoman Minerals Corp.
366,Southern Silver Exploration Corp.
367,Spanish Mountain Gold Ltd.
368,Spartan Delta Corp.
369,SRG Mining Inc.
370,Standard Lithium Ltd.
371,Starr Peak Exploration Ltd.
372,StorageVault Canada Inc.
373,Strategic Metals Ltd.
374,Strikepoint Gold Inc.
375,Sun Metals Corp.
376,Superior Gold Inc.
377,Superior Mining International Corporatio
378,Surge Copper Corp.
379,Sylogist Ltd.
380,Telson Mining Corporation
381,Terra Firma Capital Corporation
382,Teuton Resources Corp.
383,The Flowr Corporation
384,The Westaim Corporation
385,Theralase Technologies Inc.
386,Therma Bright Inc.
387,Thor Explorations Ltd.
388,Thunderbird Entertainment Group Inc.
389,Tinka Resources Limited
390,Titanium Transportation Group Inc.
391,Torq Resources Inc.
392,Trigon Metals Inc.
393,TriStar Gold Inc.
394,Tudor Gold Corp.
395,Turmalina Metals Corp.
396,Ucore Rare Metals Inc.
397,UGE International Ltd.
398,Unigold Inc.
399,Uranium Royalty Corp.
400,Vanadiumcorp Resource Inc.
401,Vanstar Mining Resources Inc.
402,Vaxil Bio Ltd.
403,Victory Metals Inc.
404,Viscount Mining Corp.
405,Vitalhub Corp.
406,Vizsla Silver Corp Com
407,VR Resources Ltd.
408,VVC Exploration Corporation
409,Walker River Resources Corp.
410,WeedMD Inc.
411,West Vault Mining Inc.
412,Westhaven Gold Corp.
413,White Gold Corp.
414,Wolfden Resources Corporation
415,Ximen Mining Corp.
416,Ynvisible Interactive Inc.
417,ZEN Graphene Solutions Ltd.
418,Zincx Resources Corp.
